CASRN,Canonical_QSARr,very_toxic
15287-51-1,CCCCOC(=O)N1C(Br)=NC(Br)=C1Br,True
2052-46-2,CN(C)C1C=CC(N)=CC=1,True
4212-94-6,CC(=O)ON(C(=O)OC(C)C)C1C=CC=CC=1,False
123253-05-4,CCCCCCCCCCCCCCCC(=O)OC1=C(C(=O)NC2C=CC=CN=2)N(C)S(=O)(=O)C2C=CSC=21,True
2953-29-9,CSP(=S)(OC)OC,True
507-60-8,CC(=O)OC1CC2(O)C(CCC3(C)C(CCC32O)C2C=CC(=O)OC=2)C2(C)CCC(C=C21)OC1OC(CO)C(O)C(O)C1O,True
71-63-6,CC12CCC(CC1CCC1C2CCC2(C)C(CCC21O)C1COC(=O)C=1)OC1CC(O)C(OC2CC(O)C(OC3CC(O)C(O)C(C)O3)C(C)O2)C(C)O1,True
64-67-5,CCOS(=O)(=O)OCC,False
30194-63-9,NC1C=CC(=CC=1)C(=O)NCCN1CCN(CC1)C1C=CC=CN=1,False
1467-79-4,CN(C)C#N,False
14901-08-7,C[N+]([O-])=NCOC1OC(CO)C(O)C(O)C1O,False
110488-70-5,COC1C=C(C=CC=1OC)C(=CC(=O)N1CCOCC1)C1C=CC(Cl)=CC=1,False
2275-18-5,CC(C)NC(=O)CSP(=S)(OCC)OCC,True
89426-89-1,NC(=O)C1C=C2NC(=NC2=CC=1)C(F)(F)F,True
866-82-0,OC(=O)C(O)(CC(O)=O)CC(O)=O,False
38035-28-8,COc1ccc2c(=O)c(C)c(C)oc2c1CN(C)C,True
6610-29-3,CNC(=S)NN,True
51356-09-3,CC1C=CC(=O)N(CSP(=S)(OCC)OCC)N=1,True
2763-96-4,NCC1=CC(O)=NO1,True
111-13-7,CCCCCCC(C)=O,True
123-25-1,CCOC(=O)CCC(=O)OCC,False
709-08-0,OC1C=CC(=CC=1)C1CCCCC=1,False
81-15-2,CC1=C(C(C)=C(C(=C1[N+]([O-])=O)C(C)(C)C)[N+]([O-])=O)[N+]([O-])=O,False
22791-26-0,CC1(C)OC2C=CC=C(OC(=O)NCC=C)C=2O1,False
84-61-7,O=C(OC1CCCCC1)C1C=CC=CC=1C(=O)OC1CCCCC1,False
14689-58-8,[O-][N+](=O)C1C(Br)=CC=C2NC(=NC2=1)C(F)(F)F,True
51356-15-1,CCOP(=S)(OCC)SCN1N=C(C=CC1=O)C1C=CC=CC=1,False
97-96-1,CCC(CC)C=O,False
28213-87-8,CNC(=O)ON=C1C(Cl)C2CC1C(C2)C#N,True
89427-35-0,FC(F)(F)C1NC2=C(N=1)C(Cl)=C(Br)C(Br)=C2Br,True
51012-33-0,COC1=CC=C(C=C1C(=O)NCCN(CC)CC)S(C)(=O)=O,False
100-44-7,ClCC1C=CC=CC=1,False
